texture_class,sand_pct,silt_pct,clay_pct,bulk_density_g_cm3,total_porosity,field_capacity_porosity,wilting_point_porosity,available_water_capacity
silty clay,7,47,46,1.2,0.5177050181352023,0.40598199549937314,0.2052248021998149,0.20075719329955824
silty clay,7,47,46,1.3,0.48936605844384906,0.38757872919296277,0.20282809627626713,0.18475063291669563
silty clay,7,47,46,1.4,0.46111390463851476,0.36962767686624387,0.20155395707727902,0.16807371978896485
silty clay,7,47,46,1.5,0.4329249406950077,0.3521012233450588,0.20128278403735136,0.1508184393077074
silty clay,7,47,46,1.6,0.40475848813295107,0.33483431301541167,0.2019499590678709,0.13288435394754078
silty clay,7,47,46,1.7,0.37677247870684877,0.31751455330520106,0.20309095552445433,0.11442359778074673
silty clay,7,47,46,1.8,0.3495912808599029,0.2999777994095317,0.20366377533058136,0.09631402407895032
silty clay,7,47,46,1.9,0.32367168780963845,0.28214739357061513,0.20274888878545294,0.0793985047851622
silty clay,7,47,46,2.0,0.29960580130228315,0.26424442388929587,0.19990087700384251,0.06434354688545335
clay,20,20,60,0.8,0.6466565013168841,0.4489812078576477,0.2520084783286759,0.19697272952897182
clay,20,20,60,0.9,0.6186810726250385,0.44247907535183456,0.24805409001175516,0.1944249853400794
clay,20,20,60,1.0,0.5909477276627098,0.43169136606891995,0.24369354169922577,0.18799782436969417
clay,20,20,60,1.1,0.5634470777881104,0.418415118796793,0.2394007760096408,0.1790143427871522
clay,20,20,60,1.2,0.5361296806615097,0.4041028358889438,0.23565734846287806,0.16844548742606574
clay,20,20,60,1.3,0.5088291539357948,0.3895379438950348,0.2327352690708709,0.15680267482416393
clay,20,20,60,1.4,0.4813288093786623,0.37495209329341256,0.23074565825924293,0.14420643503416963
clay,20,20,60,1.5,0.4533883563828441,0.36029796030891026,0.22978315648368716,0.1305148038252231
clay,20,20,60,1.6,0.4247326921993184,0.34533057334950823,0.22987487023400172,0.11545570311550651
clay,20,20,60,1.7,0.3954850829208153,0.32967532449212866,0.23044458793901756,0.0992307365531111
clay,20,20,60,1.8,0.36625204349959867,0.31290438945878074,0.23022221148777672,0.08268217797100402
clay,20,20,60,1.9,0.3378001987704632,0.2948632292732952,0.22800940748210552,0.0668538217911897
clay,20,20,60,2.0,0.31109538239520385,0.27618002615841075,0.2235082768919621,0.05267174926644866
